TARGET,SK_ID_CURR,EXT_SOURCE_2,EXT_SOURCE_3,DAYS_BIRTH,DAYS_EMPLOYED,AMT_INCOME_TOTAL,AMT_CREDIT,AMT_ANNUITY,NAME_CONTRACT_TYPE,CODE_GENDER,NAME_EDUCATION_TYPE,AMT_GOODS_PRICE,NAME_INCOME_TYPE,NAME_HOUSING_TYPE
0,100692,0.5859967304238103,0.6942364681643541,-15703,-3439,103831.44012926449,367204.27296678635,21890.563343922484,Cash loans,F,Secondary / secondary special,339646.96201257437,Working,House / apartment
0,100662,0.6859761282791179,0.46171864753683245,-15594,-7329,225378.05746261447,705733.5282545929,47061.23988471128,Cash loans,M,Secondary / secondary special,615620.6813377674,Working,House / apartment
0,100866,0.6381821326873705,0.7420361975261698,-20695,-6275,118579.7111769548,392002.8370264195,31408.65142097806,Cash loans,F,Higher education,370037.6160273524,Commercial associate,With parents
1,100070,0.3263280007166398,,-14682,-1411,77010.43536977556,263987.660591252,13391.96673812154,Revolving loans,F,Secondary / secondary special,,Commercial associate,House / apartment
0,100543,0.5077674238637576,0.44722464349768365,-17173,-6086,285010.28088778164,1214782.8070088634,67458.33542618844,Cash loans,F,Higher education,1018224.5827193555,Working,House / apartment
0,100107,0.5041065555500638,0.5100441283910699,-19730,-3679,102842.02905656316,264307.3586741781,,Cash loans,F,Secondary / secondary special,227604.1598585159,State servant,House / apartment
0,100493,0.5514304055217107,0.6448890785333792,-17132,-2324,95491.01636859414,312207.8472613232,29352.876163755907,Cash loans,F,Secondary / secondary special,260077.89169847008,Commercial associate,House / apartment
0,100590,0.6617143271259402,0.47867192942500514,-21694,-8962,183025.51610054102,381511.98700104427,17152.895038460843,Cash loans,M,Higher education,359279.68254540185,Working,House / apartment
0,100741,0.3645386488429531,0.5677040201899209,-16170,-3824,107457.04943401025,469395.94762805925,24403.503826674594,Revolving loans,F,Secondary / secondary special,423852.70048244233,Working,House / apartment
0,100292,0.31658529594402857,0.5689531031744659,-20320,-6300,107072.46657541025,451825.7184926707,27879.986185056634,Cash loans,F,Higher education,,Working,House / apartment
0,100289,,0.6091658740730903,-16431,-2158,154024.756678309,434627.7093658355,35128.50278951458,Revolving loans,F,Secondary / secondary special,,Commercial associate,House / apartment
0,100652,0.43118892290941685,0.5857620477983059,-17690,-5012,127729.57636796506,320321.4457182681,15189.067847885073,Cash loans,F,Secondary / secondary special,301330.1499663923,Working,House / apartment
1,100039,0.13338814329947132,0.14708682693777866,-9832,-1045,102639.8783289569,469600.720720446,19796.226234152247,Cash loans,F,Secondary / secondary special,,Working,House / apartment
0,100589,0.5432722454063244,0.6784614328717485,-23911,-4575,221311.33251697363,990084.7774599617,93420.36171205518,Cash loans,M,Secondary / secondary special,882296.8428650887,Commercial associate,House / apartment
0,100307,0.6321799463933561,,-21209,-4440,253857.72329674492,693822.7985714304,48389.06716240765,Cash loans,F,Higher education,686580.9689806779,Working,House / apartment
0,100679,0.321128987611629,0.6944580616995011,-19561,-7059,242636.23562065346,895613.0801198622,59095.41598918638,Cash loans,F,Secondary / secondary special,809593.7234247453,Working,House / apartment
1,100066,0.0810237521422637,0.2107010488525124,-11669,-1964,64666.847586251875,133137.8964162063,8267.748452293623,Revolving loans,F,Secondary / secondary special,112778.64128879478,Pensioner,House / apartment
0,100275,0.6815847674824963,0.7003736553820148,-17576,-6873,124722.17068465563,451671.87610087096,25063.331717003734,Cash loans,M,Incomplete higher,,State servant,House / apartment
1,100067,0.1522249873122225,0.11303273211767091,-11959,-1703,53127.02011757685,116282.10120076504,5370.7947541639005,Cash loans,M,Higher education,111601.27846119751,Pensioner,Municipal apartment
0,100318,0.3573788986536595,0.6791059506556836,-22881,-2798,231652.9635762838,943571.0316970326,75652.52078959499,Cash loans,M,Higher education,778259.932723516,Working,House / apartment
0,100548,0.3137056174352609,0.41530531176500146,-24599,-9605,109808.87095637454,505199.42747204326,29916.469165696944,Cash loans,F,Higher education,500158.03847320296,Pensioner,House / apartment
0,100998,0.43593890648788747,,-17646,-3125,142786.45376264863,429984.0822959983,29309.03431099582,Cash loans,F,Secondary / secondary special,383950.6635257786,Working,House / apartment
0,100714,0.5570032091733653,0.5016334447375181,-13690,-4551,207202.41307094437,799944.1475059503,39864.28982499794,Cash loans,M,Secondary / secondary special,657317.528959798,Working,House / apartment
0,100753,0.3360214402519086,0.6678870077749712,-20389,-1472,175535.710849151,686320.5662668609,29637.210895843058,Revolving loans,F,Secondary / secondary special,561373.5392767685,Commercial associate,House / apartment
0,100327,0.5666908977510995,,-16169,-5935,239072.17654506653,816065.3884166591,73145.81717364893,Cash loans,F,Secondary / secondary special,812965.4932512332,Pensioner,House / apartment
0,100382,0.34935728720180254,,-24449,-2196,190117.15353157095,565618.281152251,55531.83223948397,Cash loans,F,Secondary / secondary special,474779.00168579066,Working,House / apartment
0,100451,,0.5322619604835191,-12833,-5104,255833.10730568235,1056175.587635247,75463.5673223081,Cash loans,F,Incomplete higher,965474.8703411754,Pensioner,House / apartment
0,100522,0.5642417822228283,0.7723040311263778,-20662,-4206,199650.00299712934,742839.1322683996,71031.00270954872,Cash loans,M,Secondary / secondary special,636693.580481404,Working,House / apartment
0,100218,0.3751195004416912,0.5948656144865504,-12738,-1467,195167.5767137724,710958.0892982053,53979.539590822096,Cash loans,M,Secondary / secondary special,596716.8899182242,Working,House / apartment
0,100787,0.5231452579532329,0.41990426384959384,-13669,-5917,245492.4045195123,1081027.9708240768,48652.384540582105,Cash loans,F,Secondary / secondary special,883716.7807431311,Working,House / apartment
0,100436,0.5593696585906272,0.7012376743336189,-12906,-9882,229738.271544997,998101.1149173508,99759.2429761155,Cash loans,M,Incomplete higher,828250.3650669946,Commercial associate,House / apartment
0,100764,0.6139577324785769,0.7388687875759397,-22536,-7844,113283.52131549385,317831.20503921865,16666.6055566349,Cash loans,F,Secondary / secondary special,295328.7033061005,Commercial associate,House / apartment
0,100088,0.5973342720232026,0.6909925839598362,-22825,-9856,273177.87277898006,579010.5241980755,39151.62730043988,Cash loans,M,Secondary / secondary special,478000.35928763694,Working,House / apartment
1,100063,0.14430347179838532,0.38635269196342903,-11177,-1549,87110.00582354862,269883.6160103783,23577.49933142916,Cash loans,F,Secondary / secondary special,258355.46702316523,Commercial associate,House / apartment
0,100826,0.4226990420863037,0.5490633531855245,-21663,-2410,294951.15981182945,898038.2734630238,,Cash loans,M,Higher education,724032.0504844303,Commercial associate,House / apartment
0,100716,0.4559566600209194,,-23958,-2964,150159.27167350767,582442.4978676958,47350.11940604322,Cash loans,F,Secondary / secondary special,,Working,House / apartment
0,100351,0.5664905677384079,0.4016753055197864,-24483,-7324,161652.25576754272,704579.3266399512,57072.551389176166,Cash loans,F,Secondary / secondary special,703585.4341947677,State servant,House / apartment
0,100936,0.4619373832474291,0.7145823486770831,-13434,-6134,129309.93466248039,359316.8198841877,17221.108492947747,Cash loans,F,Secondary / secondary special,345840.40782678936,Working,House / apartment
0,100256,0.527679532338574,0.6416125344122293,-23194,-6114,93137.10247290262,304285.28624611924,22325.600630793164,Cash loans,F,Secondary / secondary special,262050.7112891812,Pensioner,House / apartment
0,100635,0.33692533399570856,0.630808898969542,-12344,-9947,236500.29410022753,1136666.4508171594,51096.91660952869,Cash loans,F,Higher education,1090573.1707656386,Working,Office apartment
0,100644,0.5516114434743095,0.45273476708888305,-20293,-6778,180794.9520911484,684085.2316599268,45819.984882168734,Cash loans,F,Higher education,613408.2084086548,Pensioner,House / apartment
0,100554,0.43719100239755904,0.7530662184624599,-15500,-3042,219249.51682845625,629390.4000207146,28255.142087246135,Cash loans,F,Incomplete higher,535206.7651435304,Commercial associate,House / apartment
0,100959,0.3923668031115657,0.7907998817979818,-22615,-8439,285651.8245220073,1423508.8193862694,82036.56682763506,Cash loans,M,Incomplete higher,,Working,House / apartment
0,100168,0.6177719405116116,0.6873011133139613,-17835,-7319,154537.91960718355,399160.11360539036,20802.39606113263,Cash loans,F,Higher education,342965.29918360506,Commercial associate,House / apartment
0,100917,0.38823530027265246,,-23094,-8260,211833.7834492387,769605.5224770656,,Cash loans,M,Secondary / secondary special,735469.8321630795,Working,House / apartment
0,100528,0.4257331580664636,0.5610867872479883,-22768,-7600,104188.1512498625,407325.8370143468,34286.04453588742,Cash loans,F,Higher education,365038.1933724327,Commercial associate,House / apartment
0,100823,0.67901956224401,0.47202022880159994,-14666,-7496,205257.94476469338,995478.9117491936,47397.15800411751,Cash loans,F,Higher education,940265.2466413126,Pensioner,House / apartment
0,100985,0.5766414232056997,0.5952102522727781,-23152,-9718,219839.40404939494,1059248.7846798769,77510.69581893338,Cash loans,F,Secondary / secondary special,981914.0933872997,State servant,House / apartment
0,100816,0.36382800370225676,0.4927376332419827,-20313,-9477,91039.30389513353,233180.70530077248,14893.879192591903,Cash loans,F,Secondary / secondary special,203128.99445168118,Working,Municipal apartment
0,100086,0.603002220431985,0.6244803298625868,-14785,-3053,182266.5704177428,521340.8523271761,41986.83948846599,Cash loans,M,Secondary / secondary special,452091.4768434184,Working,House / apartment
0,100432,0.554480496378677,0.684643947790154,-23364,-7528,231976.157536731,1021783.0434330599,55515.949796508205,Revolving loans,F,Incomplete higher,872115.2298696261,Working,With parents
0,100184,0.5958135231652449,0.6774012069196809,-19156,-6798,103036.25748396374,473602.0991698745,37222.558926604,Cash loans,F,Secondary / secondary special,437349.8136367454,Commercial associate,House / apartment
0,100978,0.33834490935322264,0.6140404548058425,-14293,-2289,260528.8748167613,821969.194151709,39686.85846889357,Cash loans,M,Secondary / secondary special,710058.4621971872,Working,House / apartment
0,100534,0.49921566859633576,0.6421565199867698,-15021,-1234,123159.52690299829,293414.0428758816,24810.1830552273,Cash loans,F,Secondary / secondary special,272686.7507134797,Commercial associate,House / apartment
0,100294,0.46990000461318626,0.7530654416186087,-24486,-7164,216792.57916414968,453034.3966044277,29557.021191485594,Cash loans,F,Secondary / secondary special,434847.9646511669,Working,House / apartment
0,100892,0.4699681455822058,0.44215895101806746,-17785,-4410,291447.38749471377,1292062.4691966597,63012.33046737244,Cash loans,F,Secondary / secondary special,1071640.990883735,Working,House / apartment
0,100425,,0.42491284442695904,-14599,-2538,215010.72083433223,702728.1602266385,29055.61927854531,Cash loans,F,Secondary / secondary special,676043.4931590627,Working,House / apartment
0,100713,0.5031350964593095,0.44609877494222416,-13346,-2157,206889.35306862896,618248.2234627528,32560.42098925796,Cash loans,F,Secondary / secondary special,543123.2770978097,Pensioner,House / apartment
0,100260,0.6735961863082566,0.4743171948403016,-21128,-1315,262052.61418486547,684094.7137521001,45844.27534951189,Cash loans,M,Secondary / secondary special,588395.5535011006,Working,House / apartment
0,100237,0.5122878259172639,,-22771,-7169,247428.11047745874,685011.3093387672,,Cash loans,M,Secondary / secondary special,583433.4430045013,Commercial associate,House / apartment
0,100559,,,-13624,-5250,218863.28669738382,856285.916772702,74494.8157944817,Revolving loans,F,Incomplete higher,686085.4287565289,Working,House / apartment
0,100583,0.43285920014917734,,-14089,-4083,180655.90205494856,482922.60401490243,29285.02605552924,Cash loans,F,Higher education,,Working,House / apartment
0,100445,0.3077881714927158,0.5748185674561684,-21364,-5412,271708.66637497966,679541.5858176708,32120.2975321606,Cash loans,F,Secondary / secondary special,556929.5675954116,State servant,House / apartment
0,100867,0.421503269520208,0.5177884585153513,-15297,-3514,272876.6299301311,1297066.7100819007,84786.3470630161,Cash loans,F,Secondary / secondary special,1150824.9871059828,Pensioner,House / apartment
0,100800,0.32774048207970224,0.5374963990484259,-23601,-6744,184837.35030264483,880863.407222101,,Cash loans,F,Secondary / secondary special,781523.1448633093,Working,House / apartment
0,100599,,0.7855643252647655,-15120,-1242,213524.41746638328,1051037.6123116103,46144.879922166096,Revolving loans,M,Secondary / secondary special,911573.8364201616,Pensioner,House / apartment
0,100849,0.3656807441777805,0.6183674385723625,-12101,-3074,201766.13699790882,490812.4693254309,20274.426711599932,Cash loans,F,Secondary / secondary special,437917.65095860243,Working,Municipal apartment
0,100265,0.5841847286937709,0.6446038227611429,-14471,-6765,207269.70803572735,680744.0889375723,51317.458929063054,Cash loans,F,Secondary / secondary special,645003.0307510004,Commercial associate,House / apartment
0,100995,0.39190856223712134,,-17197,-1127,272952.4293489208,1245471.0581734146,,Cash loans,F,Secondary / secondary special,1104552.5640062108,Working,House / apartment
0,100529,0.6126210247401107,0.4846678491100302,-13302,-9522,203264.92833597193,552671.4560918716,52537.50490993869,Cash loans,M,Secondary / secondary special,529275.476140416,Working,House / apartment
1,100055,0.2902338482353762,0.37143593064796393,-8091,-780,109939.70297767404,226581.56435722116,12773.97977063217,Cash loans,M,Secondary / secondary special,223395.46232077703,Commercial associate,With parents
0,100120,0.5324428250650526,0.4302218624643213,-22393,-9582,247910.28872519213,595054.2030079685,32562.224224219157,Cash loans,F,Secondary / secondary special,594888.8155833738,Commercial associate,House / apartment
0,100215,0.5144691900579155,0.5785212618420659,-12458,-1881,202386.09475300496,733841.5826145314,50909.85954328552,Cash loans,F,Secondary / secondary special,602434.0515341378,Commercial associate,House / apartment
1,100025,0.37232142109347993,0.27683962862034533,-10200,-569,98143.12797661773,410470.0441305084,29369.24674547745,Cash loans,F,Higher education,388278.08298544487,Commercial associate,House / apartment
1,100072,0.20904946108874398,0.36935774706480573,-8801,-1264,93240.99309625011,409444.8557944393,29471.939744336574,Cash loans,F,Secondary / secondary special,392470.47140915936,State servant,House / apartment
1,100044,0.24132171235359642,0.22573591222178715,-9996,-937,105893.0638692585,225959.87928022628,10457.977639555116,Cash loans,M,Higher education,186611.52433789955,State servant,House / apartment
0,100247,0.5393313026242648,0.4866070832835272,-12923,-4865,150685.8606600003,383191.212641983,16467.837335659282,Cash loans,M,Secondary / secondary special,329854.28425390617,Pensioner,Office apartment
0,100721,0.3555371963606624,0.6691244643540014,-16175,-8972,139050.18986925238,540722.9810585543,42843.10820663431,Cash loans,F,Secondary / secondary special,454908.44700314983,Pensioner,House / apartment
0,100281,0.6992583164053975,0.5168383701745417,-18073,-8380,217722.930232171,1014000.7104408072,48536.85115505004,Cash loans,F,Secondary / secondary special,,Working,House / apartment
0,100893,0.6519940418882242,0.7728025735389842,-19843,-1839,161227.13412426924,568053.4268756135,,Cash loans,M,Secondary / secondary special,500910.47629854304,Working,House / apartment
0,100914,0.3508570932439832,0.5057601018215567,-15282,-3697,135379.25991271753,298702.40841851826,,Cash loans,F,Secondary / secondary special,274394.50150086056,Commercial associate,House / apartment
0,100810,0.4894749730390043,,-20103,-5575,280286.5433863314,1292245.7037747123,54038.0590271413,Cash loans,F,Secondary / secondary special,,Working,House / apartment
0,100244,0.41756978226876995,0.6485120828235839,-20436,-5203,211707.0824231486,607730.0309419048,54979.76453991382,Revolving loans,M,Secondary / secondary special,489041.61840780324,Commercial associate,House / apartment
0,100822,0.38108203509428856,0.7513303976038331,-21298,-1811,248326.97786550407,1117016.3159897455,60543.67668500013,Cash loans,F,Higher education,1060452.5897126067,Working,House / apartment
0,100321,0.36518413179296033,0.7519407738495517,-12318,-7410,181401.58889258647,714504.8372140223,34275.284270675045,Cash loans,F,Secondary / secondary special,617471.8999716466,Working,House / apartment
0,100643,0.610183300483462,0.418864601695331,-18354,-3728,254912.517915602,570332.2220441243,38049.567747158704,Cash loans,M,Higher education,495734.72549868294,Working,House / apartment
0,100158,0.3257746634934067,0.44231390759643113,-13467,-1634,251952.0301214349,1090204.428025129,68449.711559195,Cash loans,M,Secondary / secondary special,880988.9155169103,Working,House / apartment
0,100977,0.6168290388607883,0.5963224705951502,-12629,-4055,166349.25597346004,655587.6650499074,54010.21104125536,Cash loans,F,Higher education,603676.7400274178,Commercial associate,House / apartment
0,100429,0.3280283177982735,0.5152630159818611,-20114,-3281,165216.38563811986,340228.4306316863,16239.607412831088,Cash loans,F,Secondary / secondary special,340005.462437223,Working,With parents
0,100941,0.3314833485044022,0.5992994453379468,-22212,-5210,186700.74463803775,409242.2912583094,,Cash loans,F,Incomplete higher,387557.4816983709,Working,House / apartment
